Format=7,5610,,,Right Foot,,,,,,,,,,,5611,,,Left Foot,,,,,,,,,,,5617,,,Lumbar,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1588061834366804,9.961241,-0.276062,-1.115582,0.002548,-0.004028,0.027604,-32.060305,-13.183995,3.023772,4636847653760532500.000000,0.011534,0.745150,-0.028317,0.666195,10.038695,0.984379,-1.102454,-0.011381,-0.003186,0.010350,-30.534292,-13.810150,4.902112,4636847009515438100.000000,0.113185,0.738226,-0.042304,0.663643,0.353322,-0.025107,-9.923234,-0.002076,0.005280,0.000061,-17.627491,-19.211937,13.207279,4636846580018708500.000000,0.015691,0.273243,-0.961793,0.006882
1588061834374616,9.961241,-0.263855,-1.118373,0.005264,-0.004517,0.026871,-32.069012,-13.183995,3.146880,4636847653760532500.000000,0.011507,0.745155,-0.028332,0.666190,10.063108,0.972592,-1.070044,-0.006373,-0.003573,0.011031,-30.506300,-13.732913,4.694604,4636847009515438100.000000,0.113185,0.738240,-0.042339,0.663625,0.341115,-0.038007,-9.899511,-0.000947,0.004212,0.001008,-17.622645,-19.382841,13.391521,4636846580018708500.000000,0.015693,0.273242,-0.961793,0.006882
1588061834382428,9.975361,-0.242235,-1.106167,0.008545,-0.004852,0.028840,-32.199455,-13.183995,3.259377,4636847653760532500.000000,0.011465,0.745160,-0.028345,0.666184,10.071108,0.984799,-1.103079,-0.004991,-0.004273,0.012836,-30.621199,-13.708914,4.626606,4636847009515438100.000000,0.113177,0.738257,-0.042376,0.663605,0.329600,-0.061037,-9.886612,0.001008,0.003144,0.000000,-17.537885,-19.544052,13.381139,4636846580018708500.000000,0.015688,0.273244,-0.961792,0.006889
1588061834390240,10.002570,-0.219733,-1.098666,0.006486,-0.006653,0.028016,-32.219018,-13.155759,3.226434,4636847612366568400.000000,0.011431,0.745170,-0.028360,0.666173,10.071108,0.964182,-1.131287,-0.003905,-0.002119,0.012450,-30.677204,-13.766356,4.700460,4636847009515438100.000000,0.113166,0.738268,-0.042409,0.663593,0.328909,-0.061728,-9.862200,-0.000121,0.002257,0.000000,-17.463960,-19.534384,13.202195,4636846580018708500.000000,0.015681,0.273247,-0.961791,0.006890
1588061834398052,10.010071,-0.224438,-1.098666,0.003204,-0.006164,0.027527,-32.105341,-13.044879,3.136284,4636847546386350100.000000,0.011407,0.745179,-0.028383,0.666163,10.071108,0.935769,-1.135288,-0.003204,-0.001068,0.009596,-30.562342,-13.728731,4.802108,4636847009515438100.000000,0.113161,0.738278,-0.042431,0.663581,0.316703,-0.071177,-9.842612,-0.002136,0.004212,0.000000,-17.379208,-19.368326,13.098544,4636846580018708500.000000,0.015684,0.273249,-0.961791,0.006886
1588061834405864,10.005366,-0.246054,-1.098666,0.003616,-0.005830,0.028840,-32.068971,-12.939848,3.038629,4636847546386350100.000000,0.011379,0.745187,-0.028409,0.666153,10.095719,0.935967,-1.151696,-0.005358,-0.000350,0.009263,-30.457077,-13.762338,4.768501,4636847009515438100.000000,0.113163,0.738284,-0.042457,0.663572,0.304496,-0.035933,-9.902960,-0.002076,0.003204,0.000060,-17.319056,-19.292520,13.104056,4636846580018708500.000000,0.015683,0.273252,-0.961790,0.006881
1588061834413676,9.988457,-0.259156,-1.103370,0.003861,-0.003204,0.029252,-32.260579,-12.972773,3.016235,4636847546386350100.000000,0.011349,0.745187,-0.028435,0.666152,10.091322,0.948174,-1.151499,-0.009998,0.001436,0.009613,-30.539707,-13.851793,4.736473,4636847009515438100.000000,0.113178,0.738285,-0.042496,0.663567,0.295041,-0.025102,-9.945595,-0.001008,0.003325,0.001068,-17.477733,-19.373150,13.201704,4636846580018708500.000000,0.015681,0.273250,-0.961791,0.006880
1588061834421488,9.973449,-0.248851,-1.092062,0.003204,-0.002793,0.029085,-32.410656,-13.025299,3.076266,4636847546386350100.000000,0.011321,0.745187,-0.028463,0.666152,10.050504,0.960380,-1.131090,-0.010314,0.004290,0.011767,-30.640970,-13.879818,4.802095,4636847009515438100.000000,0.113189,0.738277,-0.042541,0.663570,0.328222,-0.035933,-9.885930,0.000000,0.005280,0.001068,-17.627491,-19.377973,13.299375,4636846580018708500.000000,0.015685,0.273249,-0.961791,0.006885
1588061834429300,9.982853,-0.275163,-1.076150,0.004027,-0.002136,0.027360,-32.316616,-13.058213,3.038650,4636847546386350100.000000,0.011296,0.745185,-0.028483,0.666153,10.034486,0.964385,-1.131283,-0.007460,0.005341,0.011382,-30.673199,-13.871615,4.907953,4636847009515438100.000000,0.113192,0.738268,-0.042576,0.663578,0.305185,-0.025102,-9.854125,-0.000120,0.004152,0.001188,-17.617865,-19.468227,13.392209,4636846580018708500.000000,0.015685,0.273247,-0.961791,0.006888
1588061834437112,10.002565,-0.314588,-1.089264,0.006575,-0.001314,0.027526,-32.105390,-13.138959,2.978606,4636847587739084800.000000,0.011262,0.745181,-0.028498,0.666158,10.026284,0.956184,-1.135288,-0.004256,0.006776,0.012117,-30.619796,-13.818402,4.870187,4636847009515438100.000000,0.113185,0.738257,-0.042605,0.663590,0.305872,-0.036622,-9.902953,-0.002076,0.002257,0.003024,-17.456587,-19.629505,13.409228,4636846580018708500.000000,0.015680,0.273238,-0.961794,0.006883
1588061834444924,10.000670,-0.324899,-1.083652,0.009779,-0.000411,0.028429,-32.007813,-13.183995,3.016210,4636847653760532500.000000,0.011217,0.745175,-0.028506,0.666165,10.022278,0.968579,-1.102485,-0.003204,0.006759,0.012818,-30.649158,-13.736960,4.834132,4636847009515438100.000000,0.113172,0.738246,-0.042633,0.663602,0.318761,-0.036622,-9.946980,-0.001068,0.004392,0.000180,-17.461378,-19.619923,13.495228,4636846580018708500.000000,0.015683,0.273240,-0.961793,0.006883
1588061834452736,9.966857,-0.307993,-1.103366,0.010927,-0.000657,0.027361,-32.068910,-13.089999,3.076266,4636847653760532500.000000,0.011171,0.745170,-0.028509,0.666172,10.022278,0.984792,-1.102858,-0.003204,0.006409,0.011383,-30.677204,-13.708914,4.834132,4636847009515438100.000000,0.113164,0.738236,-0.042658,0.663613,0.343860,-0.035938,-9.910359,-0.001008,0.006229,0.003025,-17.551619,-19.449704,13.375097,4636846580018708500.000000,0.015692,0.273231,-0.961796,0.006885
1588061834460548,9.946224,-0.274182,-1.110874,0.009613,0.001233,0.025881,-32.227593,-12.939848,3.076266,4636847612429994000.000000,0.011133,0.745159,-0.028511,0.666184,10.038676,0.980600,-1.119073,-0.007509,0.009279,0.009964,-30.513220,-13.651519,4.694745,4636847009515438100.000000,0.113171,0.738217,-0.042688,0.663630,0.379795,-0.024415,-9.875790,0.000060,0.003204,0.000060,-17.703382,-19.308781,13.099227,4636846580018708500.000000,0.015688,0.273234,-0.961795,0.006888
