Format=7,5610,,,Right Foot,,,,,,,,,,,5611,,,Left Foot,,,,,,,,,,,5617,,,Lumbar,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1588062524153838,10.023849,-0.421941,-0.442126,0.001862,-0.013886,0.030141,-35.987427,-9.456989,-3.485036,4636849264373268500.000000,0.577992,0.382475,-0.607698,0.387739,10.128232,0.750025,-0.505877,-0.001196,-0.010681,0.015424,-31.626981,-11.938841,2.826274,4636848512753991700.000000,0.472197,0.570134,-0.445693,0.503324,0.321552,-0.030654,-9.904364,-0.001250,0.003386,0.000886,-27.063542,-7.356361,13.988597,4636847546386350100.000000,0.016821,0.134715,-0.990736,0.003216
1588062524161650,9.980340,-0.389554,-0.456990,0.008778,-0.013886,0.030976,-35.952871,-9.415649,-3.637806,4636849264373268500.000000,0.577952,0.382472,-0.607729,0.387754,10.102358,0.767604,-0.507339,0.002350,-0.009271,0.014142,-31.801271,-11.826020,2.875575,4636848512753991700.000000,0.472163,0.570139,-0.445715,0.503330,0.347771,-0.004162,-9.900204,-0.001068,0.004977,0.001068,-27.207661,-7.598130,13.886621,4636847546386350100.000000,0.016827,0.134712,-0.990737,0.003215
1588062524169462,9.966556,-0.339150,-0.481404,0.009846,-0.014118,0.031441,-35.794178,-9.510153,-3.616544,4636849240996399100.000000,0.577909,0.382470,-0.607759,0.387771,10.095523,0.813504,-0.516619,0.004401,-0.007007,0.012220,-31.779283,-11.644883,2.825766,4636848512753991700.000000,0.472132,0.570147,-0.445725,0.503341,0.343889,-0.010126,-9.920456,-0.002840,0.002683,0.000182,-27.366355,-7.722842,13.774395,4636847546386350100.000000,0.016826,0.134713,-0.990737,0.003207
1588062524177274,9.985656,-0.334913,-0.503160,0.010914,-0.015187,0.032648,-35.688628,-9.643848,-3.500300,4636849156999086100.000000,0.577861,0.382470,-0.607792,0.387792,10.090152,0.865260,-0.526384,0.001795,-0.006409,0.014698,-31.690418,-11.747416,2.819418,4636848512753991700.000000,0.472104,0.570145,-0.445745,0.503353,0.321555,-0.002081,-9.884115,-0.002318,0.002136,0.000000,-27.464295,-7.526849,13.909633,4636847546386350100.000000,0.016822,0.134736,-0.990734,0.003201
1588062524185086,9.983000,-0.356671,-0.499430,0.012214,-0.016022,0.030976,-35.771422,-9.662442,-3.335787,4636849156999086100.000000,0.577811,0.382478,-0.607822,0.387811,10.077945,0.873563,-0.501971,0.000000,-0.004999,0.017090,-31.652828,-12.051614,2.843356,4636848512753991700.000000,0.472182,0.570039,-0.445889,0.503271,0.337642,-0.010125,-9.906163,-0.003022,0.003908,0.000000,-27.418117,-7.412266,13.940855,4636847546386350100.000000,0.016825,0.134737,-0.990733,0.003193
1588062524192898,9.962829,-0.371532,-0.451674,0.015047,-0.016951,0.031673,-35.828728,-9.710716,-3.277961,4636849156999086100.000000,0.577754,0.382492,-0.607850,0.387837,10.055000,0.850618,-0.488296,0.000000,-0.004614,0.017090,-31.497582,-12.044857,2.741803,4636848559981038600.000000,0.472156,0.570026,-0.445914,0.503289,0.321561,-0.012207,-9.912412,-0.000547,0.003387,0.000000,-27.334759,-7.468548,13.859870,4636847546386350100.000000,0.016825,0.134738,-0.990733,0.003194
1588062524200710,9.916655,-0.393291,-0.449019,0.019923,-0.019830,0.034645,-35.828728,-9.590756,-3.347483,4636849156999086100.000000,0.577679,0.382514,-0.607883,0.387877,10.023749,0.813998,-0.472190,-0.000470,-0.007818,0.015681,-31.328608,-11.778229,2.673421,4636848620128174100.000000,0.472129,0.570021,-0.445942,0.503296,0.307268,-0.012207,-9.902287,-0.000886,0.003204,0.000000,-27.249300,-7.543883,13.934312,4636847546386350100.000000,0.016825,0.134739,-0.990733,0.003194
1588062524208522,9.901264,-0.400191,-0.444773,0.024288,-0.018391,0.036317,-35.812808,-9.399700,-3.357036,4636849156999086100.000000,0.577598,0.382540,-0.607907,0.387934,10.036909,0.793481,-0.462409,-0.001068,-0.008674,0.013886,-31.357354,-11.720059,2.716363,4636848620128174100.000000,0.472105,0.570019,-0.445969,0.503297,0.335551,-0.022329,-9.849595,-0.000182,0.003204,0.000000,-27.234716,-7.556383,14.104889,4636847546386350100.000000,0.016824,0.134740,-0.990733,0.003196
1588062524216334,9.959646,-0.387984,-0.466534,0.032601,-0.019227,0.036781,-35.771403,-9.415619,-3.357036,4636849156999086100.000000,0.577502,0.382585,-0.607922,0.388009,10.087205,0.788116,-0.481454,-0.002007,-0.007947,0.012477,-31.516024,-11.767937,2.819371,4636848620128174100.000000,0.472087,0.570016,-0.445993,0.503295,0.321565,-0.004172,-9.889773,-0.001771,0.003204,0.000000,-27.234716,-7.556383,14.055203,4636847546386350100.000000,0.016824,0.134741,-0.990733,0.003192
